,NGA,RelTime,SPC1
0,Deccan,-2400,0.155156678
1,Deccan,-2300,0.155156678
2,Deccan,-2200,0.155156678
3,Deccan,-2100,0.155156678
4,Deccan,-2000,0.155156678
5,Deccan,-1900,0.155156678
6,Deccan,-1800,0.155156678
7,Deccan,-1700,0.155156678
8,Deccan,-1600,0.155156678
9,Deccan,-1500,0.155156678
10,Deccan,-1400,0.155156678
11,Deccan,-1300,0.155156678
12,Deccan,-1200,0.155156678
13,Deccan,-1100,0.155156678
14,Deccan,-1000,0.155156678
15,Deccan,-900,0.19601325
16,Deccan,-800,0.19601325
17,Deccan,-700,0.19601325
18,Deccan,-600,0.270681727
19,Deccan,-500,0.270681727
20,Deccan,-400,0.270681727
21,Deccan,-300,0.270681727
22,Deccan,-200,0.309011591
23,Deccan,-100,0.309011591
24,Deccan,0,0.865241805
25,Deccan,100,0.309011591
26,Deccan,200,0.772670602
27,Deccan,300,0.773019348
28,Deccan,400,0.773918073
29,Deccan,500,0.775743407
30,Deccan,600,0.784964952
31,Deccan,800,0.722242598
32,Deccan,900,0.804720855
33,Deccan,1000,0.811569213
34,Deccan,1100,0.79323038
35,Deccan,1200,0.794156053
36,Deccan,1300,0.819299087
37,Deccan,1500,0.776915049
38,Deccan,1600,0.689394339
39,Deccan,1700,0.823461921
40,Deccan,1800,0.832823656
41,Deccan,1900,0.832811869
42,Deccan,2000,0.894917238
43,Sogdiana,-3000,0.26234712
44,Sogdiana,-2900,0.26234712
45,Sogdiana,-2800,0.26234712
46,Sogdiana,-2700,0.26234712
47,Sogdiana,-2600,0.26234712
48,Sogdiana,-2500,0.26234712
49,Sogdiana,-2400,0.26234712
50,Sogdiana,-2300,0.26234712
51,Sogdiana,-2200,0.26234712
52,Sogdiana,-2100,0.26234712
53,Sogdiana,-2000,0.26234712
54,Sogdiana,-1900,0.26234712
55,Sogdiana,-1800,0.26234712
56,Sogdiana,-1700,0.26234712
57,Sogdiana,-1600,0.26234712
58,Sogdiana,-1500,0.216965914
59,Sogdiana,-1400,0.216965914
60,Sogdiana,-1300,0.216965914
61,Sogdiana,-1200,0.216965914
62,Sogdiana,-1100,0.216965914
63,Sogdiana,-1000,0.216965914
64,Sogdiana,-900,0.148653829
65,Sogdiana,-800,0.148653829
66,Sogdiana,-700,0.148653829
67,Sogdiana,-600,0.148653829
68,Sogdiana,-500,0.248366221
69,Sogdiana,-400,0.369239141
70,Sogdiana,-300,0.384023796
71,Sogdiana,-200,0.315680285
72,Sogdiana,-100,0.315680285
73,Sogdiana,0,0.887021376
74,Sogdiana,100,0.884931562
75,Sogdiana,200,0.85419066
76,Sogdiana,300,0.765870426
77,Sogdiana,400,0.684295704
78,Sogdiana,500,0.619264747
79,Sogdiana,600,0.810552424
80,Sogdiana,700,0.806141972
81,Sogdiana,800,0.806545958
82,Sogdiana,900,0.819902671
83,Sogdiana,1000,0.803125862
84,Sogdiana,1100,0.717370046
85,Sogdiana,1200,0.657984735
86,Sogdiana,1300,0.8674214
87,Sogdiana,1400,0.847891918
88,Sogdiana,1500,0.813858966
89,Sogdiana,1600,0.768089962
90,Sogdiana,1700,0.813879614
91,Sogdiana,1800,0.743461331
92,Sogdiana,1900,0.872745656
93,Sogdiana,2000,0.841678405
94,Sogdiana,2100,0.779340291
95,Sogdiana,2200,0.788146715
96,Ghanaian Coast,-200,0.41954842
97,Ghanaian Coast,-100,0.41954842
98,Ghanaian Coast,0,0.623383502
99,Konya Plain,-7600,0.105088748
100,Konya Plain,-7500,0.105088748
101,Konya Plain,-7400,0.105088748
102,Konya Plain,-7300,0.105088748
103,Konya Plain,-7200,0.105088748
104,Konya Plain,-7100,0.105088748
105,Konya Plain,-7000,0.105088748
106,Konya Plain,-6900,0.105088748
107,Konya Plain,-6800,0.105088748
108,Konya Plain,-6700,0.105088748
109,Konya Plain,-6600,0.105088748
110,Konya Plain,-6500,0.105088748
111,Konya Plain,-6400,0.105088748
112,Konya Plain,-6300,0.105088748
113,Konya Plain,-6200,0.105088748
114,Konya Plain,-6100,0.105088748
115,Konya Plain,-6000,0.105088748
116,Konya Plain,-5900,0.105088748
117,Konya Plain,-5800,0.105088748
118,Konya Plain,-5700,0.105088748
119,Konya Plain,-5600,0.105088748
120,Konya Plain,-5500,0.105088748
121,Konya Plain,-5400,0.105088748
122,Konya Plain,-5300,0.105088748
123,Konya Plain,-5200,0.105088748
124,Konya Plain,-5100,0.105088748
125,Konya Plain,-5000,0.13438793
126,Konya Plain,-4900,0.13438793
127,Konya Plain,-4800,0.13438793
128,Konya Plain,-4700,0.13438793
129,Konya Plain,-4600,0.220490479
130,Konya Plain,-4500,0.220490479
131,Konya Plain,-4400,0.220490479
132,Konya Plain,-4300,0.220490479
133,Konya Plain,-4200,0.220490479
134,Konya Plain,-4100,0.220490479
135,Konya Plain,-4000,0.200311163
136,Konya Plain,-3900,0.200311163
137,Konya Plain,-3800,0.200311163
138,Konya Plain,-3700,0.200311163
139,Konya Plain,-3600,0.200311163
140,Konya Plain,-3000,0.252058313
141,Konya Plain,-2900,0.252058313
142,Konya Plain,-2800,0.252058313
143,Konya Plain,-2700,0.252058313
144,Konya Plain,-2600,0.252058313
145,Konya Plain,-2500,0.252058313
146,Konya Plain,-2400,0.252058313
147,Konya Plain,-2300,0.252058313
148,Konya Plain,-2200,0.252058313
149,Konya Plain,-2100,0.252058313
150,Konya Plain,-2000,0.252058313
151,Konya Plain,-1900,0.252058313
152,Konya Plain,-1800,0.252058313
153,Konya Plain,-1700,0.252058313
154,Konya Plain,-1600,0.252058313
155,Konya Plain,-1500,0.252058313
156,Konya Plain,-1400,0.252058313
157,Konya Plain,-1300,0.252058313
158,Konya Plain,-1200,0.252058313
159,Konya Plain,-1100,0.252058313
160,Konya Plain,-1000,0.338266748
161,Konya Plain,-900,0.338266748
162,Konya Plain,-800,0.338266748
163,Konya Plain,-700,0.338266748
164,Konya Plain,-600,0.338266748
165,Konya Plain,-500,0.338266748
166,Konya Plain,-400,0.338266748
167,Konya Plain,-300,0.338266748
168,Konya Plain,-200,0.338266748
169,Konya Plain,-100,0.338266748
170,Konya Plain,0,0.584207148
171,Konya Plain,100,0.584207148
172,Konya Plain,200,0.584207148
173,Konya Plain,300,0.584207148
174,Konya Plain,400,0.666109699
175,Konya Plain,500,0.688037193
176,Konya Plain,600,0.678982186
177,Konya Plain,700,0.69336631
178,Konya Plain,800,0.694619228
179,Konya Plain,900,0.605397714
180,Konya Plain,1000,0.605397714
181,Konya Plain,1100,0.600754195
182,Konya Plain,1200,0.637261443
183,Konya Plain,1300,0.637261443
184,Konya Plain,1400,0.763213754
185,Konya Plain,1500,0.887021376
186,Konya Plain,1600,0.884931562
187,Konya Plain,1700,0.746792056
188,Konya Plain,1800,0.778294628
189,Konya Plain,1900,0.678603227
190,Konya Plain,2000,0.926778876
191,Konya Plain,2100,0.931204977
192,Konya Plain,2200,0.929826614
193,Konya Plain,2300,0.928458305
194,Konya Plain,2400,0.912166058
195,Konya Plain,2500,0.922031865
196,Konya Plain,2600,0.90158306
197,Konya Plain,2700,0.841871592
198,Konya Plain,2800,0.846634048
199,Konya Plain,2900,0.862921886
200,Konya Plain,3000,0.877523704
201,Konya Plain,3100,0.765126821
202,Konya Plain,3200,0.765126821
203,Konya Plain,3300,0.818716171
204,Konya Plain,3400,0.808596305
205,Konya Plain,3500,0.886274244
206,Konya Plain,3600,0.958306584
207,Konya Plain,3700,0.95750208
208,Konya Plain,3800,0.947797165
209,Latium,-2900,0.15737526
210,Latium,-2800,0.15737526
211,Latium,-2700,0.15737526
212,Latium,-2600,0.15737526
213,Latium,-2500,0.15737526
214,Latium,-2400,0.15737526
215,Latium,-2300,0.15737526
216,Latium,-2200,0.15737526
217,Latium,-2100,0.15737526
218,Latium,-2000,0.15737526
219,Latium,-1900,0.15737526
220,Latium,-1800,0.15737526
221,Latium,-1700,0.15737526
222,Latium,-1600,0.15737526
223,Latium,-1500,0.15737526
224,Latium,-1400,0.15737526
225,Latium,-1300,0.15737526
226,Latium,-1200,0.15737526
227,Latium,-1100,0.096128156
228,Latium,-1000,0.096128156
229,Latium,-900,0.096128156
230,Latium,-800,0.096128156
231,Latium,-700,0.096128156
232,Latium,-600,0.096128156
233,Latium,-500,0.140222167
234,Latium,-400,0.140222167
235,Latium,-300,0.183183681
236,Latium,-200,0.183183681
237,Latium,-100,0.189265763
238,Latium,0,0.541341689
239,Latium,100,0.558733984
240,Latium,200,0.597863711
241,Latium,300,0.605252141
242,Latium,400,0.676971203
243,Latium,500,0.761244139
244,Latium,600,0.82188895
245,Latium,700,0.926778876
246,Latium,800,0.931204977
247,Latium,900,0.929826614
248,Latium,1000,0.928458305
249,Latium,1100,0.914820268
250,Latium,1200,0.823299026
251,Latium,1300,0.736393529
252,Latium,1400,0.755748367
253,Latium,1500,0.748741687
254,Latium,1600,0.739849728
255,Latium,1700,0.71597653
256,Latium,1800,0.706742673
257,Latium,1900,0.743248775
258,Latium,2000,0.743248775
259,Latium,2100,0.725900891
260,Latium,2200,0.721047846
261,Latium,2300,0.769720333
262,Latium,2400,0.781539212
263,Latium,2500,0.785173378
264,Paris Basin,-3000,0.227194968
265,Paris Basin,-2900,0.227194968
266,Paris Basin,-2800,0.227194968
267,Paris Basin,-2700,0.227194968
268,Paris Basin,-2600,0.227194968
269,Paris Basin,-2500,0.227194968
270,Paris Basin,-2400,0.227194968
271,Paris Basin,-2300,0.227194968
272,Paris Basin,-2200,0.227194968
273,Paris Basin,-2100,0.227194968
274,Paris Basin,-2000,0.225324619
275,Paris Basin,-1900,0.225324619
276,Paris Basin,-1800,0.225324619
277,Paris Basin,-1700,0.225324619
278,Paris Basin,-1600,0.225324619
279,Paris Basin,-1500,0.225324619
280,Paris Basin,-1400,0.225324619
281,Paris Basin,-1300,0.225324619
282,Paris Basin,-1200,0.225324619
283,Paris Basin,-1100,0.225324619
284,Paris Basin,-1000,0.225324619
285,Paris Basin,-900,0.225324619
286,Paris Basin,-800,0.16921561
287,Paris Basin,-700,0.255854608
288,Paris Basin,-600,0.269243365
289,Paris Basin,-500,0.297871482
290,Paris Basin,-400,0.343799132
291,Paris Basin,-300,0.343799132
292,Paris Basin,-200,0.356129378
293,Paris Basin,-100,0.451406059
294,Paris Basin,0,0.499566954
295,Paris Basin,100,0.554045252
296,Paris Basin,200,0.926778876
297,Paris Basin,300,0.931204977
298,Paris Basin,400,0.929826614
299,Paris Basin,500,0.928458305
300,Paris Basin,700,0.735880625
301,Paris Basin,800,0.734171557
302,Paris Basin,900,0.72807639
303,Paris Basin,1000,0.760762123
304,Paris Basin,1100,0.71670394
305,Paris Basin,1200,0.689535812
306,Paris Basin,1300,0.657843746
307,Paris Basin,1400,0.824432857
308,Paris Basin,1500,0.82242418
309,Paris Basin,1600,0.818518376
310,Paris Basin,1700,0.876882368
311,Paris Basin,1800,0.91003406
312,Paris Basin,1900,0.957293327
313,Orkhon Valley,-1900,0.315541355
314,Orkhon Valley,-1800,0.315541355
315,Orkhon Valley,-1700,0.315541355
316,Orkhon Valley,-1600,0.315541355
317,Orkhon Valley,-1500,0.315541355
318,Orkhon Valley,-1400,0.315541355
319,Orkhon Valley,-1300,0.315541355
320,Orkhon Valley,-1200,0.315541355
321,Orkhon Valley,-1100,0.315541355
322,Orkhon Valley,-1000,0.315541355
323,Orkhon Valley,-900,0.32778218
324,Orkhon Valley,-800,0.32778218
325,Orkhon Valley,-700,0.459247869
326,Orkhon Valley,-600,0.459247869
327,Orkhon Valley,-500,0.450334253
328,Orkhon Valley,-400,0.430391714
329,Orkhon Valley,-300,0.430391714
330,Orkhon Valley,-200,0.430236291
331,Orkhon Valley,-100,0.430236291
332,Orkhon Valley,0,0.520649178
333,Orkhon Valley,100,0.60090941
334,Orkhon Valley,200,0.596966926
335,Orkhon Valley,300,0.644542214
336,Orkhon Valley,400,0.644542214
337,Orkhon Valley,500,0.782908611
338,Orkhon Valley,600,0.782908611
339,Orkhon Valley,700,0.302733454
340,Orkhon Valley,800,0.909591409
341,Orkhon Valley,900,0.698624834
342,Orkhon Valley,1000,0.698624834
343,Orkhon Valley,1100,0.645079013
344,Orkhon Valley,1200,0.718817194
345,Orkhon Valley,1300,0.992244568
346,Orkhon Valley,1400,0.996386254
347,Iceland,-300,0.337468168
348,Iceland,-200,0.404175293
349,Iceland,-100,0.473477614
350,Iceland,0,0.528582535
351,Cuzco,-1300,0.257786112
352,Cuzco,-1200,0.219697698
353,Cuzco,-1100,0.212864496
354,Cuzco,-1000,0.224014201
355,Cuzco,-900,0.215498041
356,Cuzco,-800,0.215498041
357,Cuzco,-700,0.486610167
358,Cuzco,-600,0.486610167
359,Cuzco,-500,0.486610167
360,Cuzco,-400,0.296282676
361,Cuzco,-300,0.296282676
362,Cuzco,-200,0.296282676
363,Cuzco,-100,0.374144584
364,Cuzco,0,0.594645533
365,Cuzco,100,0.602291323
366,Kansai,-700,0.232953155
367,Kansai,-600,0.232953155
368,Kansai,-500,0.232953155
369,Kansai,-400,0.232953155
370,Kansai,-300,0.232953155
371,Kansai,-200,0.232953155
372,Kansai,-100,0.474898734
373,Kansai,0,0.534590675
374,Kansai,100,0.581717145
375,Kansai,200,0.746240665
376,Kansai,300,0.763180667
377,Kansai,400,0.816838575
378,Kansai,500,0.81897316
379,Kansai,600,0.816802571
380,Kansai,700,0.81879064
381,Kansai,800,0.803606018
382,Kansai,900,0.802764411
383,Kansai,1000,0.819799612
384,Kansai,1100,0.746661419
385,Kansai,1200,0.824980001
386,Kansai,1300,0.923082938
387,Kansai,1400,0.924962176
388,Upper Egypt,-1300,0.151831804
389,Upper Egypt,-1200,0.151831804
390,Upper Egypt,-1100,0.151831804
391,Upper Egypt,-1000,0.151831804
392,Upper Egypt,-900,0.151831804
393,Upper Egypt,-800,0.151831804
394,Upper Egypt,-700,0.174698163
395,Upper Egypt,-600,0.312389862
396,Upper Egypt,-500,0.348164483
397,Upper Egypt,-400,0.389162155
398,Upper Egypt,-300,0.405379961
399,Upper Egypt,-200,0.440667126
400,Upper Egypt,-100,0.446453908
401,Upper Egypt,0,0.587768498
402,Upper Egypt,100,0.587768498
403,Upper Egypt,200,0.585600676
404,Upper Egypt,300,0.594301319
405,Upper Egypt,400,0.59533374
406,Upper Egypt,500,0.700498393
407,Upper Egypt,600,0.700498393
408,Upper Egypt,700,0.700498393
409,Upper Egypt,800,0.703382928
410,Upper Egypt,900,0.703382928
411,Upper Egypt,1000,0.593117294
